api_hnd,module_api_name,argument_no,argument_name,argument_datatype,argument_type,behavior_basic_flag,behavior_complete_flag
52,advapi32_RegSetValueExW,3,dwType,DWORD,IN,1,1
52,advapi32_RegSetValueExW,4,lpData,BYTE*,IN,1,1
52,advapi32_RegSetValueExW,5,cbData,DWORD,IN,0,1
53,kernel32_CreateEventA,0,lpEventAttributes,LPSECURITY_ATTRIBUTES,IN,0,1
53,kernel32_CreateEventA,1,bManualReset,BOOL,IN,0,1
53,kernel32_CreateEventA,2,bInitialState,BOOL,IN,0,1
53,kernel32_CreateEventA,3,lpName,LPCSTR,IN,1,1
54,kernel32_CreateEventW,0,lpEventAttributes,LPSECURITY_ATTRIBUTES,IN,0,1
54,kernel32_CreateEventW,1,bManualReset,BOOL,IN,0,1
54,kernel32_CreateEventW,2,bInitialState,BOOL,IN,0,1
54,kernel32_CreateEventW,3,lpName,LPCWSTR,IN,0,1
55,kernel32_CreateEventExA,0,lpEventAttributes,LPSECURITY_ATTRIBUTES,IN,0,1
55,kernel32_CreateEventExA,1,lpName,LPCSTR,IN,1,1
55,kernel32_CreateEventExA,2,dwFlags,DWORD,IN,0,1
55,kernel32_CreateEventExA,3,dwDesiredAccess,DWORD,IN,1,1
56,kernel32_CreateEventExW,0,lpEventAttributes,LPSECURITY_ATTRIBUTES,IN,0,1
56,kernel32_CreateEventExW,1,lpName,LPCWSTR,IN,1,1
56,kernel32_CreateEventExW,2,dwFlags,DWORD,IN,0,1
56,kernel32_CreateEventExW,3,dwDesiredAccess,DWORD,IN,0,1
57,kernel32_CreateMutexA,0,lpMutexAttributes,LPSECURITY_ATTRIBUTES,IN,0,1
57,kernel32_CreateMutexA,1,bInitialOwner,BOOL,IN,0,1
57,kernel32_CreateMutexA,2,lpName,LPCSTR,IN,1,1
58,kernel32_CreateMutexW,0,lpMutexAttributes,LPSECURITY_ATTRIBUTES,IN,0,1
58,kernel32_CreateMutexW,1,bInitialOwner,BOOL,IN,0,1
58,kernel32_CreateMutexW,2,lpName,LPCWSTR,IN,1,1
59,kernel32_CreateMutexExA,0,lpMutexAttributes,LPSECURITY_ATTRIBUTES,IN,0,1
59,kernel32_CreateMutexExA,1,lpName,LPCSTR,IN,1,1
59,kernel32_CreateMutexExA,2,dwFlags,DWORD,IN,0,1
59,kernel32_CreateMutexExA,3,dwDesiredAccess,DWORD,IN,0,1
60,kernel32_CreateMutexExW,0,lpMutexAttributes,LPSECURITY_ATTRIBUTES,IN,0,1
